Nome scuola,Indirizzo,Grado,Forma,Sito,Telefono,Mail
Il Girotondo,Via Nino Bixio 311,Asilo nido,Pubblica,https://www.paginegialle.it/villafranca-di-verona-vr/scuole-private/asilo-nido-comunale-girotondo_2  ,0457900252,
Piccolo Mondo,Via Enrico Federico 5,Asilo nido,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/RM1AER5007/piccolo-mondo/ ,0774-358267,BORRELLIROBERTA976@GMAIL.COM 
Carlo Collodi,Via Carlo Collodi,Infanzia,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VRAA86801E/collodi/ ,0457900185,VRIC86800N@istruzione.it
Angeli Custodi,Via Caluri,Infanzia,Pubblica,https://www.angeli-custodi.com/ ,045/8266025,angelicustodi.vr@gmail.com 
San Giuseppe,Corso Vittorio Emanuele 60,Infanzia,Privata,https://maternavillafranca.it/ ,045 7900566,materna.sangiuseppe@libero.it 
Maria Bambina - Istituto Canossiano,Via Messedaglia 146,Infanzia,Privata,http://www.canossianevilla.it/wp/ ,045 6300976,segreteriainfanzia@canossianevilla.it
San Gaetano,Piazza 24 Febbraio 5,Infanzia,Privata,https://www.asilosangaetano.org/ ,045 854 7005,info@asilosangaetano.org
Ebe e Aleardo Franchini,Via Tito Speri 17,Infanzia,Privata,https://www.maternaquaderni.it/ ,045 794 0112,
Don Geremia Cordioli,Via Borgo Milano 22,Infanzia,Privata,http://dongeremia.altervista.org/ ,045 7900441,scuoladongeremia@libero.it,
Santa Maria Goretti,Via Piave 2,Infanzia,Privata,https://www.maternapizzoletta.it/it/ ,0456336525,info@maternapizzoletta.it
Luigi e Stella Mariotto,Via Carlo Alberto 22,Infanzia,Privata,https://www.infanziaenidoalpo.it/ ,045 513121,info@infanziaenidoalpo.it
Maria Zoccatelli,Piazza Don Girelli 4,Infanzia,Privata,https://www.zoccatellidossobuono.it/ , ,
Gaetano Bellotti,Corso Vittorio Emanuele 113,Primaria,Pubblica,https://www.schoolvisor.it/it-it/scuola/19862/verona/ic-villafranca-cavalchini-moro/villafranca-g-bellotti ,0457900185,Vric86800n@istruzione.it
Cesare Marchi,Via Antonio Gramsci,Primaria,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE86803T/pizzoletta-c-marchi/ ,0457900185,VRIC86800N@istruzione.it 
Edmondo De Amicis,Via Edmondo De Amicis 7,Primaria,Pubblica,https://www.paginegialle.it/villafranca-di-verona-vr/scuole-pubbliche/istituto-comprensivo-cavalchini-moro-villafranca-di-verona ,045 794 0166,VRIC86800N@istruzione.it
Anna Frank,Via Principe Amedeo,Primaria,Pubblica,https://www.paginegialle.it/rosegaferro-vr/scuole-pubbliche/rosegaferro-frank-anna ,0457900185,VRIC86800N@istruzione.it
Dante Alighieri,Via Prina 63,Primaria,Pubblica,https://www.paginegialle.it/villafranca-di-verona-vr/comune/dante-alighieri ,0457900185,VRIC86800N@istruzione.it
Don Calabria,Via Federico di Saluzzo,Primaria,Pubblica,https://www.icdossobuono.edu.it/pagine/contatti-don-giovanni-calabria-1 ,045/513756,vric86700t@istruzione.it
Vittorio Locchi,Viale Europa 33,Primaria,Pubblica,https://www.icdossobuono.edu.it/pagine/scuola-primaria-v-locchi ,045/513756,vric86700t@istruzione.it
Giacomo Zanella,Strada La Rizza,Primaria,Pubblica,https://www.icdossobuono.edu.it/pagine/scuola-primaria-g-zanella ,045/513756,vric86700t@istruzione.it
Istituto Canossiano,Via Messedaglia 146,Primaria,Privata,https://www.canossianevillaprimaria.it/ ,045 6300976,segreteriaprimaria@canossianevilla.it
Cavalchini Moro,Via Marconi 3,Secondaria I Grado,Pubblica,https://icsvillafranca.edu.it/ 
Rita Levi Montalcini,Via dei Mille,Secondaria I Grado,Pubblica,https://www.icdossobuono.edu.it/pagine/scuola-secondaria-1-grado-rita-levi-montalcini 
Don Allegri,Via Aldo Rizzini 4,Secondaria I Grado,Privata,http://www.donallegri.it/ 
Liceo Enrico Medi,Via Magenta 9,Secondaria II Grado,Pubblica,https://www.liceomedivr.edu.it/ 
ISISS Carlo Anti,Via Magenta 3,Secondaria II Grado,Pubblica,https://www.carloanti.edu.it/ 
IS Ettore Bolisani,Via Magenta,Secondaria II Grado,Pubblica,https://www.istitutobolisani.edu.it/ 
IPSAR Stefani Bentegodi,Via Ospedale,Secondaria II Grado,Pubblica,https://www.stefanibentegodi.edu.it/ 
ENGIM Veneto SF Scaligera Formazione Verona,Via Novara,CFP,Pubblica,https://scaligera-formazione.engimveneto.org/ 
